year,water_area_ha
1984,0.0
1985,0.0
1986,0.0
1987,0.5073173436482745
1988,0.0
1989,3353.355184209446
1990,3493.847068101712
1991,6793.56380463141
1992,11219.29556064963
1993,6131.9615468650945
1994,12082.15071995113
1995,2368.1482722568294
1996,9528.314659144993
1997,4707.792669231731
1998,0.0
1999,4891.502854656866
2000,4170.731176471835
2001,7025.285296119812
2002,10420.080019735104
2003,9283.641630261067
2004,14085.626420665627
2005,12951.634977944797
2006,17933.605612889776
2007,15231.203162732692
2008,15386.949567890997
2009,16532.05967096552
2010,9558.542410734912
2011,10668.275257905496
2012,6587.4548034703375
2013,11742.455598330038
2014,15355.298979882742
2015,13593.83689572873
2016,14539.254507027164
2017,15700.129299051812
2018,16241.69678018852
2019,16065.399475055834
2020,19858.451713844403
2021,19158.937230502528
