year,water_area_ha
1992,17852.356808045784
1994,18967.468803177304
2002,14374.80511532915
2003,13925.4624453916
2004,15241.982543112063
2005,16990.60851651157
2006,20068.20960977708
2007,17185.652223497458
2008,16346.235302464922
2009,16979.014075445455
2010,16239.907125494998
2011,19268.140956359453
2013,16088.089441832699
2014,18628.69057426961
2015,14829.640249885886
2016,15861.004916756907
2017,17127.413780783794
2018,18475.903545483685
2019,18485.62626217251
2020,21499.74178857772
2021,19158.937230502528
