year,water_area_ha
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,1767.1984392946276
1989,2227.8599989416302
1990,3958.320796938016
1991,5918.180493032636
1992,10190.708796637606
1993,12450.810693130852
1994,14314.885126891
1995,7177.58816095722
1996,8546.840570965094
1997,6012.413972895368
1998,9574.195277620749
1999,9681.951641274105
2000,8264.247932424341
2001,9636.594583707652
2002,7375.6045357176745
2003,4515.120460376922
2004,13015.918913503296
2005,18734.02734817059
2006,22451.35806088557
2007,19044.454168345546
2008,24905.466283749334
2009,24266.074153387075
2010,12480.087340491778
2011,16626.576628759783
2012,11518.252867081877
2013,20363.254524960787
2014,22772.322834510804
2015,10965.64608089905
2016,16543.841122204267
2017,19891.379422332353
2018,18434.454446660016
2019,19800.835601888535
2020,26813.49819589702
2021,23293.39560142622
