year,water_area_ha_NagarjunaSagar,water_area_ha_Srisailam
1984,0.0,0.0
1985,0.0,0.0
1986,0.0,0.0
1987,0.5073173436482745,0.0
1988,0.0,1767.1984392946276
1989,3353.355184209446,2227.8599989416302
1990,3493.847068101712,3958.320796938016
1991,6793.56380463141,5918.180493032636
1992,11219.29556064963,10190.708796637606
1993,6131.9615468650945,12450.810693130852
1994,12082.15071995113,14314.885126891
1995,2368.1482722568294,7177.58816095722
1996,9528.314659144993,8546.840570965094
1997,4707.792669231731,6012.413972895368
1998,0.0,9574.195277620749
1999,4891.502854656866,9681.951641274105
2000,4170.731176471835,8264.247932424341
2001,7025.285296119812,9636.594583707652
2002,10420.080019735104,7375.6045357176745
2003,9283.641630261067,4515.120460376922
2004,14085.626420665627,13015.918913503296
2005,12951.634977944797,18734.02734817059
2006,17933.605612889776,22451.35806088557
2007,15231.203162732692,19044.454168345546
2008,15386.949567890997,24905.466283749334
2009,16532.05967096552,24266.074153387075
2010,9558.542410734912,12480.087340491778
2011,10668.275257905496,16626.576628759783
2012,6587.4548034703375,11518.252867081877
2013,11742.455598330038,20363.254524960787
2014,15355.298979882742,22772.322834510804
2015,13593.83689572873,10965.64608089905
2016,14539.254507027164,16543.841122204267
2017,15700.129299051812,19891.379422332353
2018,16241.69678018852,18434.454446660016
2019,16065.399475055834,19800.835601888535
2020,19858.451713844403,26813.49819589702
2021,19158.937230502528,23293.39560142622
