year,water_area_ha_NagarjunaSagar,water_area_ha_Srisailam
2004,15241.982543112063,15615.858712292582
2005,16990.60851651157,19185.952519637027
2006,20068.20960977708,28525.957374836733
2007,17185.652223497458,22832.953099340335
2008,16346.235302464922,29040.500106821717
2009,16979.014075445455,30190.17947642757
2011,19268.140956359453,31895.896629166342
2013,16088.089441832699,30335.138726153054
2014,18628.69057426961,26399.079270207207
2015,14829.640249885886,15266.864391756058
2016,15861.004916756907,21317.926971249555
2017,17127.413780783794,25578.905528846306
2018,18475.903545483685,21695.71806409944
2019,18485.62626217251,23238.24640320686
2020,21499.74178857772,30397.7957635641
2021,19158.937230502528,24860.994216813688
